position	wave function
6.501289412942514e0	-5.3125795329432536e-55
6.503008630199199e0	-1.061158219718544e-54
6.504727847455884e0	-1.593721887184133e-54
6.506447064712569e0	-2.1302711275408937e-54
6.508166281969254e0	-2.672128141903978e-54
6.509885499225939e0	-3.220618387070683e-54
6.5116047164826245e0	-3.77707376154581e-54
6.51332393373931e0	-4.34283575932492e-54
6.515043150995995e0	-4.919258599328217e-54
6.51676236825268e0	-5.507712338144605e-54
6.518481585509365e0	-6.109585973535029e-54
6.52020080276605e0	-6.726290545955128e-54
6.521920020022735e0	-7.359262245187739e-54
6.52363923727942e0	-8.009965529026928e-54
6.525358454536105e0	-8.679896260823713e-54
6.5270776717927905e0	-9.37058487259014e-54
6.528796889049476e0	-1.0083599560261901e-53
6.530516106306161e0	-1.0820549517639046e-53
6.532235323562846e0	-1.1583088215459094e-53
6.533954540819531e0	-1.2372916732007556e-53
6.535673758076216e0	-1.3191787141634006e-53
6.537392975332901e0	-1.4041505967520672e-53
6.539112192589586e0	-1.492393770504097e-53
6.540831409846271e0	-1.584100842205131e-53
6.5425506271029565e0	-1.6794709442474172e-53
6.544269844359642e0	-1.7787101119560829e-53
6.545989061616327e0	-1.8820316705263017e-53
6.547708278873012e0	-1.9896566322193764e-53
6.549427496129697e0	-2.1018141044722906e-53
6.551146713386382e0	-2.218741709582579e-53
6.552865930643067e0	-2.340686016639033e-53
6.554585147899752e0	-2.4679029863783836e-53
6.556304365156437e0	-2.6006584296586787e-53
6.5580235824131226e0	-2.7392284802516863e-53
6.559742799669808e0	-2.883900082669764e-53
6.561462016926493e0	-3.0349714957558006e-53
6.563181234183178e0	-3.1927528127800787e-53
6.564900451439863e0	-3.357566498803348e-53
6.566619668696548e0	-3.52974794608232e-53
6.568338885953233e0	-3.709646048311324e-53
6.570058103209918e0	-3.8976237945127623e-53
6.5717773204666035e0	-4.0940588834088205e-53
6.573496537723289e0	-4.29934435912717e-53
6.575215754979974e0	-4.513889269115811e-53
6.576934972236659e0	-4.7381193451640935e-53
6.578654189493344e0	-4.972477708451625e-53
6.580373406750029e0	-5.2174255995707715e-53
6.582092624006714e0	-5.473443134494679e-53
6.583811841263399e0	-5.741030087489318e-53
6.585531058520084e0	-6.020706701996381e-53
6.5872502757767695e0	-6.313014530542339e-53
6.588969493033455e0	-6.618517304759139e-53
6.59068871029014e0	-6.937801836633478e-53
6.592407927546825e0	-7.271478952133243e-53
6.59412714480351e0	-7.6201844583938545e-53
6.595846362060195e0	-7.984580145680886e-53
6.59756557931688e0	-8.365354825381727e-53
6.599284796573565e0	-8.76322540531565e-53
6.60100401383025e0	-9.178938003689556e-53
6.6027232310869355e0	-9.613269103066409e-53
6.604442448343621e0	-1.0067026745753347e-52
6.606161665600306e0	-1.0541051772058567e-52
6.607880882856991e0	-1.1036219102909506e-52
6.609600100113676e0	-1.155343906836875e-52
6.611319317370361e0	-1.209365878363036e-52
6.613038534627046e0	-1.265786357412542e-52
6.614757751883731e0	-1.324707845141603e-52
6.616476969140416e0	-1.3862369641605316e-52
6.6181961863971015e0	-1.4504846168042833e-52
6.619915403653787e0	-1.5175661490158516e-52
6.621634620910472e0	-1.5876015200311831e-52
6.623353838167157e0	-1.6607154780599127e-52
6.625073055423842e0	-1.7370377421619794e-52
6.626792272680527e0	-1.816703190526138e-52
6.628511489937212e0	-1.8998520553624075e-52
6.630230707193897e0	-1.986630124626785e-52
6.631949924450582e0	-2.0771889508030737e-52
6.6336691417072675e0	-2.17168606697302e-52
6.635388358963953e0	-2.270285210413054e-52
6.637107576220638e0	-2.3731565539626996e-52
6.638826793477323e0	-2.4804769454169203e-52
6.640546010734008e0	-2.5924301552020847e-52
6.642265227990693e0	-2.7092071326026275e-52
6.643984445247378e0	-2.8310062708134184e-52
6.645703662504063e0	-2.958033681100602e-52
6.647422879760748e0	-3.0905034763619745e-52
6.6491420970174335e0	-3.228638064386365e-52
6.650861314274119e0	-3.3726684511198214e-52
6.652580531530804e0	-3.522834554255458e-52
6.654299748787489e0	-3.67938552747292e-52
6.656018966044174e0	-3.842580095662343e-52
6.657738183300859e0	-4.012686901477428e-52
6.659457400557544e0	-4.1899848635721035e-52
6.661176617814229e0	-4.3747635468850086e-52
6.662895835070914e0	-4.5673235453461745e-52
6.6646150523275995e0	-4.767976877391336e-52
6.666334269584285e0	-4.977047394679299e-52
6.66805348684097e0	-5.194871204419431e-52
6.669772704097655e0	-5.4217971057274555e-52
6.67149192135434e0	-5.658187040438888e-52
6.673211138611025e0	-5.904416558822113e-52
6.67493035586771e0	-6.1608753006445726e-52
6.676649573124395e0	-6.4279674920582584e-52
6.6783687903810804e0	-6.706112458783277e-52
6.680088007637766e0	-6.995745156081518e-52
6.681807224894451e0	-7.297316716025793e-52
6.683526442151136e0	-7.611295012583318e-52
6.685245659407821e0	-7.938165245046441e-52
6.686964876664506e0	-8.278430540357786e-52
6.688684093921191e0	-8.63261257489213e-52
6.690403311177876e0	-9.001252216271606e-52
6.692122528434561e0	-9.384910185806994e-52
6.6938417456912465e0	-9.784167742172424e-52
6.695560962947932e0	-1.0199627386938405e-51
6.697280180204617e0	-1.0631913592602963e-51
6.698999397461302e0	-1.1081673553779053e-51
6.700718614717987e0	-1.1549577962212052e-51
6.702437831974672e0	-1.20363218063202e-51
6.704157049231357e0	-1.254262519596784e-51
6.705876266488042e0	-1.3069234213199867e-51
6.707595483744727e0	-1.3616921789685018e-51
6.7093147010014125e0	-1.4186488611634522e-51
6.711033918258098e0	-1.477876405298263e-51
6.712753135514783e0	-1.5394607137634828e-51
6.714472352771468e0	-1.6034907531611023e-51
6.716191570028153e0	-1.670058656593161e-51
6.717910787284838e0	-1.739259829111538e-51
6.719630004541523e0	-1.8111930564181012e-51
6.721349221798208e0	-1.885960616906477e-51
