distance	scattering length real	scattering length imag
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
5.028166933282446e2	-1.5412900731562615e1	-2.936681286504569e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
6.164956219646884e2	-1.546817658084626e1	-8.304388917358523e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
7.301745506011323e2	-1.5491021372215737e1	-5.910485741723429e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
8.438534792375762e2	-1.5502200247740118e1	3.8758614506291003e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
9.5753240787402e2	-1.5508321021138125e1	-5.770961818931502e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
