energy	bound difference	node count
-1.9755951190238048e2	1.2775067482917246e-1	2e0
-1.9751950390078014e2	1.2706755806141112e-1	2e0
-1.9747949589917982e2	1.2522118860287934e-1	2e0
-1.974394878975795e2	1.2338860112505827e-1	2e0
-1.9739947989597917e2	1.3367105935586565e-1	2e0
-1.9735947189437888e2	1.318357814338524e-1	2e0
-1.9731946389277854e2	1.5470383486697128e-1	2e0
-1.9727945589117823e2	1.4306815960300068e-1	2e0
-1.9723944788957792e2	1.4124634011207654e-1	2e0
-1.9719943988797758e2	1.6142710106699054e-1	2e0
-1.9715943188637726e2	1.49744161409796e-1	2e0
-1.9711942388477695e2	1.6996123089584933e-1	2e0
-1.9707941588317664e2	1.582665086709975e-1	2e0
-1.970394078815763e2	1.785201551810876e-1	2e0
-1.96999399879976e2	1.6572674939168572e-1	2e0
-1.9695939187837567e2	1.7608044254109553e-1	2e0
-1.9691938387677536e2	1.7428809012112634e-1	2e0
-1.9687937587517501e2	1.9453876283470298e-1	2e0
-1.968393678735747e2	1.7732544646540926e-1	2e0
-1.967993598719744e2	1.866325138806053e-1	2e0
-1.9675935187037405e2	1.8487032397798683e-1	2e0
-1.9671934386877376e2	1.9525141276064187e-1	2e0
-1.9667933586717342e2	1.9348671930563596e-1	2e0
-1.966393278655731e2	2.1383174032821758e-1	2e0
-1.965993198639728e2	2.0212835917645028e-1	2e0
-1.9655931186237245e2	2.2251305753776693e-1	2e0
-1.9651930386077214e2	2.107953963775486e-1	2e0
-1.9647929585917183e2	2.0903953744526085e-1	2e0
-1.9643928785757151e2	2.2949942875331203e-1	2e0
-1.9639927985597117e2	2.2675192842798933e-1	2e0
-1.9635927185437086e2	2.27135176716309e-1	2e0
-1.9631926385277055e2	2.2541524882599473e-1	2e0
-1.962792558511702e2	2.3381784870204148e-1	2e0
-1.9623924784956992e2	2.3414750796721256e-1	2e0
-1.9619923984796958e2	2.546625240322756e-1	2e0
-1.9615923184636927e2	2.4091928888584446e-1	2e0
-1.9611922384476895e2	2.4119489776355835e-1	2e0
-1.960792158431686e2	2.617885638723399e-1	2e0
-1.960392078415683e2	2.7016124618872395e-1	2e0
-1.9599919983996799e2	2.5947174691835134e-1	2e0
-1.9595919183836767e2	2.577975954497723e-1	2e0
-1.9591918383676733e2	2.66342395571997e-1	2e0
-1.9587917583516705e2	2.666236311627827e-1	2e0
-1.958391678335667e2	2.751822700871878e-1	2e0
-1.9579915983196636e2	2.735867436042132e-1	2e0
-1.9575915183036608e2	2.9618249045231804e-1	2e0
-1.9571914382876574e2	2.824513134508411e-1	2e0
-1.9567913582716542e2	3.030883234921318e-1	2e0
-1.956391278255651e2	2.922814308068041e-1	2e0
-1.955991198239648e2	3.009161581987114e-1	2e0
-1.9555911182236446e2	2.9935670894266564e-1	2e0
-1.9551910382076414e2	2.995772077800758e-1	2e0
-1.9547909581916383e2	3.082958504131551e-1	2e0
-1.954390878175635e2	3.0674845644564286e-1	2e0
-1.953990798159632e2	3.293996134411052e-1	2e0
-1.9535907181436286e2	3.157130418988576e-1	2e0
-1.9531906381276255e2	3.3653038487833015e-1	2e0
-1.9527905581116224e2	3.3684387452408604e-1	2e0
-1.952390478095619e2	3.343928429039569e-1	2e0
-1.9519903980796158e2	3.328825171738857e-1	2e0
-1.9515903180636127e2	3.330295036812125e-1	2e0
-1.9511902380476096e2	3.4192442247894167e-1	2e0
-1.9507901580316062e2	3.404263502451379e-1	2e0
-1.950390078015603e2	3.509941481723851e-1	2e0
-1.9499899979996e2	3.494944780242067e-1	2e0
-1.9495899179835965e2	3.705101394110575e-1	2e0
-1.9491898379675933e2	3.585905744450029e-1	2e0
-1.9487897579515902e2	3.5710320465219847e-1	2e0
-1.948389677935587e2	3.669424355276452e-1	2e0
-1.9479895979195837e2	3.7472456574517504e-1	2e0
-1.9475895179035805e2	3.7325972208929187e-1	2e0
-1.9471894378875774e2	3.944122263626778e-1	2e0
-1.946789357871574e2	3.8242959610819177e-1	2e0
-1.9463892778555712e2	3.809772078766288e-1	2e0
-1.9459891978395677e2	4.022265421373743e-1	2e0
-1.9455891178235646e2	4.015523398788887e-1	2e0
-1.9451890378075615e2	4.001265269559335e-1	2e0
-1.9447889577915583e2	3.9871467177513087e-1	2e0
-1.944388877775555e2	4.093791448515403e-1	2e0
-1.9439887977595518e2	4.0796598728309513e-1	2e0
-1.9435887177435487e2	4.293489350182308e-1	2e0
-1.9431886377275453e2	4.1724637915466967e-1	2e0
-1.9427885577115424e2	4.158459048827363e-1	2e0
-1.942388477695539e2	4.37330042476711e-1	2e0
-1.941988397679536e2	4.251542564012471e-1	2e0
-1.9415883176635327e2	4.352500353905508e-1	2e0
-1.9411882376475293e2	4.338910711667614e-1	2e0
-1.9407881576315262e2	4.4461625815100303e-1	2e0
-1.940388077615523e2	4.4325617648149584e-1	2e0
-1.93998799759952e2	4.41910110937752e-1	2e0
-1.9395879175835165e2	4.526510475698146e-1	2e0
-1.9391878375675134e2	4.513038932338936e-1	2e0
-1.9387877575515103e2	4.620758695121562e-1	2e0
-1.9383876775355068e2	4.6072760671220186e-1	2e0
-1.937987597519504e2	4.8252813435864345e-1	2e0
-1.9375875175035006e2	4.8178125467778377e-1	2e0
-1.9371874374874974e2	4.8046159369055125e-1	2e0
-1.9367873574714943e2	4.7915605837595715e-1	2e0
-1.936387277455491e2	4.8997602036869287e-1	2e0
-1.9359871974394878e2	4.886695436564199e-1	2e0
-1.9355871174234846e2	4.873771972952683e-1	2e0
-1.9351870374074815e2	4.982137030657689e-1	2e0
-1.934786957391478e2	4.969204458065124e-1	2e0
-1.9343868773754753e2	5.190003525565026e-1	2e0
-1.9339867973594718e2	5.064945411791594e-1	2e0
-1.9335867173434684e2	5.169420200889009e-1	2e0
-1.9331866373274656e2	5.142262454024277e-1	2e0
-1.9327865573114622e2	5.251107554835845e-1	2e0
-1.932386477295459e2	5.238585065322569e-1	2e0
-1.931986397279456e2	5.226204536613497e-1	2e0
-1.9315863172634528e2	5.335221657954615e-1	2e0
-1.9311862372474494e2	5.322833964602686e-1	2e0
-1.9307861572314462e2	5.546696161229938e-1	2e0
-1.930386077215443e2	5.538140341862426e-1	2e0
-1.9299859971994397e2	5.526059178450312e-1	2e0
-1.9295859171834368e2	5.514120708915708e-1	2e0
-1.9291858371674334e2	5.623659564618266e-1	2e0
-1.9287857571514303e2	5.611715823741025e-1	2e0
-1.9283856771354272e2	5.599914813269661e-1	2e0
-1.9279855971194237e2	5.709632718491815e-1	2e0
-1.9275855171034206e2	5.69782678408439e-1	2e0
-1.9271854370874172e2	5.745944590810967e-1	2e0
-1.9267853570714144e2	5.855932489895657e-1	2e0
-1.926385277055411e2	5.844354266060384e-1	2e0
-1.9259851970394078e2	5.832919253650802e-1	2e0
-1.9255851170234047e2	5.941063194541583e-1	2e0
-1.9251850370074013e2	5.931652110077668e-1	2e0
-1.924784956991398e2	6.161088785413021e-1	2e0
-1.924384876975395e2	6.149950355072156e-1	2e0
-1.923984796959392e2	6.140257956841114e-1	2e0
-1.9235847169433885e2	6.12928842741034e-1	2e0
-1.9231846369273853e2	6.239645615365429e-1	2e0
-1.9227845569113822e2	6.22904762725871e-1	2e0
-1.9223844768953788e2	6.218220685659099e-1	2e0
-1.921984396879376e2	6.329826244715852e-1	2e0
-1.9215843168633725e2	6.318313872177191e-1	2e0
-1.9211842368473694e2	6.551388847185786e-1	2e0
-1.9207841568313663e2	6.420495230108819e-1	2e0
-1.9203840768153628e2	6.530414921922099e-1	2e0
-1.9199839967993597e2	6.520069313053145e-1	2e0
-1.9195839167833566e2	6.634082195693214e-1	2e0
-1.9191838367673535e2	6.624711587922393e-1	2e0
-1.91878375675135e2	6.611029522367481e-1	2e0
-1.9183836767353472e2	6.726346656611069e-1	2e0
-1.9179835967193438e2	6.71712657456052e-1	2e0
-1.9175835167033406e2	6.70248175057608e-1	2e0
-1.9171834366873375e2	6.819115088403627e-1	2e0
-1.916783356671334e2	6.810046097157861e-1	2e0
-1.916383276655331e2	7.045402766207305e-1	2e0
-1.9159831966393278e2	7.036552346754743e-1	2e0
-1.9155831166233247e2	7.02784756166565e-1	2e0
-1.9151830366073213e2	7.1396739211344e-1	2e0
-1.9147829565913182e2	7.130977960241197e-1	2e0
-1.914382876575315e2	7.122427809222177e-1	2e0
-1.9139827965593116e2	7.234464874181575e-1	2e0
-1.9135827165433088e2	7.225924030606965e-1	2e0
-1.9131826365273054e2	7.217529174707297e-1	2e0
-1.9127825565113022e2	7.455587441297548e-1	2e0
-1.912382476495299e2	7.44742454305976e-1	2e0
-1.9119823964792957e2	7.439408607000496e-1	2e0
-1.9115823164632926e2	7.55209698421027e-1	2e0
-1.9111822364472891e2	7.544092968764935e-1	2e0
-1.9107821564312863e2	7.536236017272301e-1	2e0
-1.910382076415283e2	7.528525901718307e-1	2e0
-1.9099819963992798e2	7.641299216348585e-1	2e0
-1.9095819163832766e2	7.729285877805233e-1	2e0
-1.9091818363672732e2	7.721909599048971e-1	2e0
-1.90878175635127e2	7.835079222963479e-1	2e0
-1.908381676335267e2	7.827717674469676e-1	2e0
-1.9079815963192638e2	7.820503962374042e-1	2e0
-1.9075815163032604e2	7.933899333237676e-1	2e0
-1.9071814362872576e2	7.926700895866332e-1	2e0
-1.906781356271254e2	7.919650520994245e-1	2e0
-1.9063812762552507e2	8.03327381872329e-1	2e0
-1.905981196239248e2	8.155945847512297e-1	2e0
-1.9055811162232445e2	8.149302575127784e-1	2e0
-1.9051810362072413e2	8.26339985957459e-1	2e0
-1.9047809561912382e2	8.256774721478066e-1	2e0
-1.904380876175235e2	8.250298990639761e-1	2e0
-1.9039807961592317e2	8.364631257774352e-1	2e0
-1.9035807161432285e2	8.358174248313965e-1	2e0
-1.9031806361272254e2	8.351866896711819e-1	2e0
-1.902780556111222e2	8.466436417881814e-1	2e0
-1.902380476095219e2	8.460148427699731e-1	2e0
-1.9019803960792157e2	8.586252176205286e-1	2e0
-1.9015803160632126e2	8.701317398430937e-1	2e0
-1.9011802360472095e2	8.695456320293884e-1	2e0
-1.900780156031206e2	8.689746257759632e-1	2e0
-1.900380076015203e2	8.805056122507567e-1	2e0
-1.8999799959991998e2	8.799368549944159e-1	2e0
-1.8995799159831967e2	8.793832272837234e-1	2e0
-1.8991798359671932e2	8.909389144708066e-1	2e0
-1.89877975595119e2	8.903875994096807e-1	2e0
-1.898379675935187e2	8.89851442476045e-1	2e0
-1.8979795959191836e2	9.149289998386808e-1	2e0
-1.8975795159031807e2	9.144222380532171e-1	2e0
-1.8971794358871773e2	9.139307622403532e-1	2e0
-1.8967793558711742e2	9.25563783275544e-1	2e0
-1.896379275855171e2	9.250749487531309e-1	2e0
-1.8959791958391676e2	9.246014315942688e-1	2e0
-1.8955791158231645e2	9.362601743941201e-1	2e0
-1.8951790358071614e2	9.357893668919121e-1	2e0
-1.8947789557911582e2	9.353339135718998e-1	2e0
-1.8943788757751548e2	9.607803514714419e-1	2e0
-1.893978795759152e2	9.603560796359695e-1	2e0
-1.8935787157431486e2	9.599472990769685e-1	2e0
-1.8931786357271454e2	9.752715010346215e-1	2e0
-1.8927785557111423e2	9.712811203897395e-1	2e0
-1.892378475695139e2	9.708909210170114e-1	2e0
-1.8919783956791358e2	9.864032520992413e-1	2e0
-1.8915783156631326e2	9.892601433106951e-1	2e0
-1.8911782356471295e2	9.889034006701163e-1	2e0
-1.890778155631126e2	1.0046467564679822e0	2e0
-1.890378075615123e2	1.00035818427608e0	2e0
-1.8899779955991198e2	1.0053116677866583e0	2e0
-1.8895779155831164e2	1.0212815162974154e0	2e0
-1.8891778355671136e2	1.0210756916257697e0	2e0
-1.8887777555511101e2	1.0165283874126938e0	2e0
-1.888377675535107e2	1.016236805397389e0	2e0
-1.8879775955191036e2	1.0325096195585706e0	2e0
-1.8875775155031005e2	1.027811592146888e0	2e0
-1.8871774354870973e2	1.0275393742522523e0	2e0
