position	wave function
6.503030755807452e0	-3.876030273486493e-54
6.506494476730254e0	-7.781109419877523e-54
6.509958197653057e0	-1.176372459803394e-53
6.513421918575859e0	-1.5862692348542272e-53
6.516885639498661e0	-2.0117375146431872e-53
6.520349360421464e0	-2.4568045526220025e-53
6.523813081344266e0	-2.925624762803067e-53
6.527276802267068e0	-3.422515951212099e-53
6.530740523189871e0	-3.9519959441873067e-53
6.534204244112673e0	-4.518819922190451e-53
6.537667965035475e0	-5.128018759548202e-53
6.541131685958278e0	-5.784938665129514e-53
6.54459540688108e0	-6.495282416170052e-53
6.548059127803882e0	-7.265152477091699e-53
6.551522848726685e0	-8.101096297077896e-53
6.554986569649487e0	-9.010154084224219e-53
6.5584502905722895e0	-9.999909360180318e-53
6.561914011495092e0	-1.1078542607249425e-52
6.565377732417894e0	-1.2254888329843293e-52
6.5688414533406965e0	-1.3538495863958104e-52
6.572305174263499e0	-1.4939694281894478e-52
6.575768895186301e0	-1.6469661754780645e-52
6.5792326161091035e0	-1.814049975254735e-52
6.582696337031906e0	-1.9965312479860735e-52
6.586160057954708e0	-2.1958291967140374e-52
6.5896237788775105e0	-2.413480925819988e-52
6.593087499800313e0	-2.6511512160281834e-52
6.596551220723115e0	-2.9106430048333768e-52
6.6000149416459175e0	-3.1939086243348673e-52
6.60347866256872e0	-3.503061851452151e-52
6.606942383491522e0	-3.840390828687941e-52
6.6104061044143245e0	-4.208371917004342e-52
6.613869825337127e0	-4.609684545988607e-52
6.617333546259929e0	-5.0472271303172496e-52
6.6207972671827315e0	-5.52413412558828e-52
6.624260988105534e0	-6.043794300889261e-52
6.627724709028336e0	-6.60987031001251e-52
6.6311884299511386e0	-7.226319648026334e-52
6.634652150873941e0	-7.897417084978215e-52
6.638115871796743e0	-8.627778673844113e-52
6.641579592719546e0	-9.422387435464967e-52
6.645043313642348e0	-1.0286620829137032e-51
6.64850703456515e0	-1.1226280123755438e-51
6.651970755487953e0	-1.2247621790968691e-51
6.655434476410755e0	-1.3357391048689278e-51
6.658898197333557e0	-1.4562857690546796e-51
6.66236191825636e0	-1.587185434446499e-51
6.665825639179162e0	-1.7292817311522756e-51
6.669289360101964e0	-1.883483014461606e-51
6.672753081024767e0	-2.0507670135209382e-51
6.676216801947569e0	-2.2321857885647094e-51
6.679680522870371e0	-2.4288710154113375e-51
6.683144243793174e0	-2.6420396169402403e-51
6.686607964715976e0	-2.872999762319114e-51
6.690071685638778e0	-3.1231572558528237e-51
6.693535406561581e0	-3.3940223384767926e-51
6.696999127484383e0	-3.6872169261212504e-51
6.700462848407185e0	-4.004482310429266e-51
6.703926569329988e0	-4.3476873486240284e-51
6.70739029025279e0	-4.7188371706891156e-51
6.710854011175592e0	-5.120082433454102e-51
6.714317732098395e0	-5.553729152665812e-51
6.717781453021197e0	-6.022249145677228e-51
6.721245173943999e0	-6.528291119001382e-51
6.724708894866802e0	-7.074692436659382e-51
6.728172615789604e0	-7.664491607004161e-51
6.731636336712406e0	-8.300941527519327e-51
6.735100057635209e0	-8.987523528988806e-51
6.738563778558011e0	-9.727962262398719e-51
6.742027499480813e0	-1.0526241473976678e-50
6.745491220403616e0	-1.138662071589798e-50
6.748954941326418e0	-1.2313653042388884e-50
6.75241866224922e0	-1.3312203743241675e-50
6.755882383172023e0	-1.4387470169127706e-50
6.759346104094825e0	-1.5545002705547135e-50
6.762809825017627e0	-1.679072695480156e-50
6.76627354594043e0	-1.8130967188004573e-50
6.769737266863232e0	-1.957247113187693e-50
6.773200987786034e0	-2.1122436157887708e-50
6.776664708708837e0	-2.278853694422463e-50
6.780128429631639e0	-2.457895468408365e-50
6.783592150554441e0	-2.650240791688828e-50
6.787055871477244e0	-2.8568185062254695e-50
6.790519592400046e0	-3.0786178739846467e-50
6.793983313322848e0	-3.316692196167328e-50
6.797447034245651e0	-3.5721626286926034e-50
6.800910755168453e0	-3.8462222033065025e-50
6.8043744760912555e0	-4.140140064063631e-50
6.807838197014058e0	-4.455265929313012e-50
6.81130191793686e0	-4.7930347897167715e-50
6.8147656388596625e0	-5.154971853239028e-50
6.818229359782465e0	-5.542697748459381e-50
6.821693080705267e0	-5.95793399799824e-50
6.8251568016280695e0	-6.402508774282339e-50
6.828620522550872e0	-6.878362950332037e-50
6.832084243473674e0	-7.387556458718019e-50
6.8355479643964765e0	-7.932274972312303e-50
6.839011685319279e0	-8.514836920945862e-50
6.842475406242081e0	-9.137700858586981e-50
6.8459391271648835e0	-9.803473196165729e-50
6.849402848087686e0	-1.0514916315693293e-49
6.852866569010488e0	-1.127495708186067e-49
6.8563302899332905e0	-1.208669576784857e-49
6.859794010856093e0	-1.2953415412636732e-49
6.863257731778895e0	-1.3878591627671705e-49
6.8667214527016975e0	-1.486590287133141e-49
6.8701851736245e0	-1.5919241210219011e-49
6.873648894547302e0	-1.7042723586917892e-49
6.8771126154701046e0	-1.8240703614455457e-49
6.880576336392907e0	-1.9517783918340712e-49
6.884040057315709e0	-2.0878829047683192e-49
6.887503778238512e0	-2.232897897753732e-49
6.890967499161314e0	-2.387366322526977e-49
6.894431220084116e0	-2.5518615604409223e-49
6.897894941006919e0	-2.7269889640109515e-49
6.901358661929721e0	-2.913387467103817e-49
6.904822382852523e0	-3.1117312663178753e-49
6.908286103775326e0	-3.3227315761741494e-49
6.911749824698128e0	-3.547138460806942e-49
6.91521354562093e0	-3.7857427449136534e-49
6.918677266543733e0	-4.0393780067948476e-49
6.922140987466535e0	-4.308922656386837e-49
6.925604708389337e0	-4.595302101261623e-49
6.92906842931214e0	-4.899491003641749e-49
6.932532150234942e0	-5.222515631550013e-49
6.935562906042394e0	-5.521461262778449e-49
6.939026626965196e0	-5.882759115415477e-49
6.942490347887999e0	-6.26615326690944e-49
6.945954068810801e0	-6.6728940091753396e-49
6.949417789733603e0	-7.104296156940439e-49
6.952881510656406e0	-7.561742018822386e-49
6.956345231579208e0	-8.046684485970642e-49
6.95980895250201e0	-8.560650241965165e-49
6.963272673424813e0	-9.105243097735521e-49
6.966736394347615e0	-9.682147455337979e-49
6.970200115270417e0	-1.0293131904494935e-48
6.97366383619322e0	-1.0940052955872169e-48
6.977127557116022e0	-1.1624858915134126e-48
6.980591278038824e0	-1.2349593901889565e-48
6.984054998961627e0	-1.3116402017698443e-48
6.987518719884429e0	-1.3927531667380832e-48
6.990982440807231e0	-1.4785340037926628e-48
6.994446161730034e0	-1.569229773936811e-48
