position	wave function
6.501285363242253e0	2.0432286320017215e-55
6.502999180898591e0	4.0812357389424034e-55
6.504712998554929e0	6.129487000066224e-55
6.506426816211267e0	8.193068370759583e-55
6.508140633867605e0	1.027706628364145e-54
6.5098544515239425e0	1.2386580063895398e-54
6.51156826918028e0	1.452673419187087e-54
6.513282086836618e0	1.6702690444293178e-54
6.514995904492956e0	1.891965994444811e-54
6.516709722149294e0	2.118291515081984e-54
6.518423539805632e0	2.3497801812866382e-54
6.520137357461969e0	2.5869750921899136e-54
6.521851175118307e0	2.830429068439482e-54
6.523564992774645e0	3.08070585445045e-54
6.525278810430983e0	3.338381328203262e-54
6.526992628087321e0	3.604044721173091e-54
6.5287064457436585e0	3.8782998509395095e-54
6.530420263399996e0	4.161766368995286e-54
6.532134081056334e0	4.455081026249294e-54
6.533847898712672e0	4.758898958700252e-54
6.53556171636901e0	5.073894995745851e-54
6.537275534025348e0	5.400764993584211e-54
6.5389893516816855e0	5.740227196162742e-54
6.540703169338023e0	6.093023626132295e-54
6.542416986994361e0	6.459921508272118e-54
6.544130804650699e0	6.841714727863902e-54
6.545844622307037e0	7.239225326510362e-54
6.547558439963375e0	7.653305037914278e-54
6.549272257619712e0	8.084836866161799e-54
6.55098607527605e0	8.534736709081851e-54
6.552699892932388e0	9.003955029289861e-54
6.554413710588726e0	9.49347857556094e-54
6.556127528245064e0	1.0004332157221765e-53
6.5578413459014016e0	1.053758047429622e-53
6.559555163557739e0	1.1094330006190902e-53
6.561268981214077e0	1.1675730961761412e-53
6.562982798870415e0	1.2282979293659001e-53
6.564696616526753e0	1.2917318779918954e-53
6.566410434183091e0	1.3580043175820273e-53
6.5681242518394285e0	1.4272498439115113e-53
6.569838069495766e0	1.4996085031801226e-53
6.571551887152104e0	1.5752260301688743e-53
6.573265704808442e0	1.6542540947096026e-53
6.57497952246478e0	1.7368505568093426e-53
6.576693340121118e0	1.8231797307805566e-53
6.578407157777455e0	1.9134126587376402e-53
6.580120975433793e0	2.0077273938298705e-53
6.581834793090131e0	2.1063092935914377e-53
6.583548610746469e0	2.2093513237994876e-53
6.585262428402807e0	2.317054373242368e-53
6.586976246059145e0	2.4296275798118705e-53
6.588690063715482e0	2.5472886683449003e-53
6.59040388137182e0	2.670264300652567e-53
6.592117699028158e0	2.7987904381873416e-53
6.593831516684496e0	2.933112717812264e-53
6.595545334340834e0	3.0734868411499252e-53
6.5972591519971715e0	3.2201789780028513e-53
6.598972969653509e0	3.373466184351901e-53
6.600686787309847e0	3.5336368354542735e-53
6.602400604966185e0	3.700991074578061e-53
6.604114422622523e0	3.8758412779270116e-53
6.605828240278861e0	4.0585125363250223e-53
6.607542057935198e0	4.249343154247762e-53
6.609255875591536e0	4.448685166805872e-53
6.610969693247874e0	4.656904875302839e-53
6.612683510904212e0	4.874383402009215e-53
6.61439732856055e0	5.1015172648141735e-53
6.616111146216888e0	5.338718972435517e-53
6.617824963873225e0	5.586417640889239e-53
6.619538781529563e0	5.845059631941569e-53
6.621252599185901e0	6.115109214287468e-53
6.622966416842239e0	6.397049248222354e-53
6.624680234498577e0	6.691381894596464e-53
6.6263940521549145e0	6.998629348865059e-53
6.628107869811252e0	7.319334601072212e-53
6.62982168746759e0	7.654062222630415e-53
6.631535505123928e0	8.003399180784163e-53
6.633249322780266e0	8.367955681672532e-53
6.634963140436604e0	8.748366042931887e-53
6.6366769580929414e0	9.145289596808499e-53
6.638390775749279e0	9.559411624779676e-53
6.640104593405617e0	9.99144432471053e-53
6.641818411061955e0	1.0442127811604578e-52
6.643532228718293e0	1.091223115303689e-52
6.645246046374631e0	1.140255344039072e-52
6.646959864030968e0	1.1913924897050732e-52
6.648673681687306e0	1.244720802474024e-52
6.650387499343644e0	1.300329878922397e-52
6.652101316999982e0	1.3583127846632768e-52
6.65381513465632e0	1.4187661811704018e-52
6.6555289523126575e0	1.4817904569267564e-52
6.657242769968995e0	1.5474898630346312e-52
6.658956587625333e0	1.6159726534279145e-52
6.660670405281671e0	1.687351229831357e-52
6.662384222938009e0	1.7617422916158635e-52
6.664098040594347e0	1.839266990702812e-52
6.6658118582506845e0	1.9200510916750477e-52
6.667525675907022e0	2.0042251372563145e-52
6.66923949356336e0	2.0919246193257535e-52
6.670953311219698e0	2.183290155638575e-52
6.672667128876036e0	2.278467672428841e-52
6.674380946532374e0	2.3776085930751963e-52
6.676094764188711e0	2.480870033015551e-52
6.677808581845049e0	2.588415001101545e-52
6.679522399501387e0	2.7004126075893042e-52
6.681236217157725e0	2.8170382789680814e-52
6.682950034814063e0	2.938473979834198e-52
6.6846638524704005e0	3.0649084420229808e-52
6.686377670126738e0	3.196537401217544e-52
6.688091487783076e0	3.3335638412592907e-52
6.689805305439414e0	3.476198246390662e-52
6.691519123095752e0	3.6246588616672445e-52
6.69323294075209e0	3.779171961782627e-52
6.6949467584084275e0	3.939972128556045e-52
6.696660576064765e0	4.1073025373393984e-52
6.698374393721103e0	4.281415252607004e-52
6.700088211377441e0	4.4625715329987155e-52
6.701802029033779e0	4.651042146094049e-52
6.703515846690117e0	4.847107693202258e-52
6.705229664346454e0	5.051058944460892e-52
6.706943482002792e0	5.263197184542897e-52
6.70865729965913e0	5.483834569280492e-52
6.710371117315468e0	5.7132944935218336e-52
6.712084934971806e0	5.9519119705445286e-52
6.7137987526281435e0	6.200034023358931e-52
6.715512570284481e0	6.4580200882421955e-52
6.717226387940819e0	6.726242430853493e-52
6.718940205597157e0	7.005086575289156e-52
6.720654023253495e0	7.294951746445795e-52
6.722367840909833e0	7.596251326069308e-52
6.7240816585661705e0	7.909413322876782e-52
6.725795476222508e0	8.234880857148021e-52
6.727509293878846e0	8.573112660193932e-52
6.729223111535184e0	8.924583589118708e-52
6.730936929191522e0	9.289785157303614e-52
6.73265074684786e0	9.669226081050503e-52
6.734364564504197e0	1.0063432842834143e-51
6.736078382160535e0	1.0472950271624298e-51
6.737792199816873e0	1.0898342140748e-51
6.739506017473211e0	1.13401917837764e-51
6.741219835129549e0	1.1799102728930908e-51
6.7429336527858865e0	1.2275699352515921e-51
6.744647470442224e0	1.2770627551897449e-51
6.746361288098562e0	1.3284555438559987e-51
6.7480751057549e0	1.3818174051786855e-51
6.749788923411238e0	1.4372198093521812e-51
6.751502741067576e0	1.4947366684983845e-51
6.7532165587239135e0	1.5544444145619843e-51
6.754930376380251e0	1.6164220794995156e-51
6.756644194036589e0	1.680751377823483e-51
6.758358011692927e0	1.747516791564328e-51
6.760071829349265e0	1.816805657714567e-51
6.761785647005603e0	1.8887082582208702e-51
6.76349946466194e0	1.96331791259139e-51
6.765213282318278e0	2.0407310731871967e-51
6.766927099974616e0	2.1210474232683908e-51
6.768640917630954e0	2.204369977866948e-51
6.770354735287292e0	2.290805187560144e-51
6.7720685529436295e0	2.3804630452199717e-51
6.773782370599967e0	2.4734571958158294e-51
6.775496188256305e0	2.5699050493494167e-51
6.777210005912643e0	2.669927897002631e-51
6.778923823568981e0	2.7736510305810196e-51
6.780637641225319e0	2.8812038653372296e-51
6.7823514588816565e0	2.992720066260983e-51
6.784065276537994e0	3.108337677923652e-51
6.785779094194332e0	3.228199257967743e-51
6.78749291185067e0	3.352452014333642e-51
6.789206729507008e0	3.4812479463179396e-51
6.790920547163346e0	3.614743989559488e-51
6.792634364819683e0	3.7531021650520084e-51
6.794348182476021e0	3.8964897322837426e-51
6.796062000132359e0	4.0450793466068945e-51
6.797775817788697e0	4.199049220942213e-51
6.799489635445035e0	4.3585832919259295e-51
6.8012034531013725e0	4.523871390608563e-51
6.80291727075771e0	4.695109417817895e-51
6.804631088414048e0	4.872499524300348e-51
6.806344906070386e0	5.0562502957577866e-51
6.808058723726724e0	5.246576942898754e-51
6.809772541383062e0	5.443701496626294e-51
6.8114863590393995e0	5.647853008486717e-51
6.813200176695737e0	5.859267756506294e-51
6.814913994352075e0	6.078189456545433e-51
6.816627812008413e0	6.304869479302915e-51
6.818341629664751e0	6.539567073105051e-51
6.820055447321089e0	6.782549592617823e-51
6.821769264977426e0	7.034092733622868e-51
6.823483082633764e0	7.294480774000518e-51
6.825196900290102e0	7.564006821066682e-51
6.82691071794644e0	7.8429730654129e-51
6.828624535602778e0	8.131691041402367e-51
6.8303383532591155e0	8.430481894477171e-51
6.832052170915453e0	8.739676655435574e-51
6.833765988571791e0	9.059616521841374e-51
6.835479806228129e0	9.39065314672999e-51
6.837193623884467e0	9.733148934780111e-51
6.838907441540805e0	1.0087477346122108e-50
6.8406212591971425e0	1.0454023207958504e-50
6.84233507685348e0	1.0833183034174813e-50
6.844048894509818e0	1.1225365353122798e-50
6.845762712166156e0	1.1630991043761348e-50
6.847476529822494e0	1.2050493680344224e-50
6.849190347478832e0	1.2484319885846767e-50
6.850904165135169e0	1.2932929694328845e-50
6.852617982791507e0	1.339679692243307e-50
6.854331800447845e0	1.3876409550222542e-50
6.856045618104183e0	1.4372270111565824e-50
6.857759435760521e0	1.4884896094280614e-50
