mass scale factor	scattering length real	scattering length imag
8.164164164164165e-1	-1.2779671748539128e1	6.139952720931754e-13
8.168168168168168e-1	-1.3478060740674163e1	1.7410735298626475e-13
8.172172172172173e-1	-1.4190958031913864e1	-7.361824017479472e-13
8.176176176176176e-1	-1.4918894696167051e1	3.3870151970245746e-13
8.180180180180181e-1	-1.566242430592478e1	-4.668838266354335e-13
8.184184184184184e-1	-1.642213151921426e1	-5.865261037842317e-13
8.188188188188189e-1	-1.7198626421682512e1	-4.040521579366877e-13
8.192192192192193e-1	-1.799255150174106e1	7.900077321430647e-13
8.196196196196197e-1	-1.8804579358560883e1	8.731635995275291e-13
8.200200200200201e-1	-1.963542358820674e1	-3.2800190258191145e-13
8.204204204204204e-1	-2.0485827031484234e1	-1.0503764169394865e-13
8.208208208208209e-1	-2.1356577146701515e1	2.1322556925287336e-13
8.212212212212212e-1	-2.224850034167161e1	-9.957327886613647e-14
8.216216216216217e-1	-2.3162472188297397e1	4.550117787975085e-13
8.22022022022022e-1	-2.4099409063944915e1	-4.785555501351468e-13
8.224224224224225e-1	-2.5060289271282564e1	-1.6126020575501262e-14
8.228228228228228e-1	-2.604613522415476e1	9.553489066593537e-14
8.232232232232233e-1	-2.7058037756521287e1	-2.941542532756867e-13
8.236236236236236e-1	-2.8097143485156472e1	-4.849743517903032e-13
8.240240240240241e-1	-2.9164672440264106e1	1.4650333260274346e-12
8.244244244244244e-1	-3.02619155857948e1	-9.691372307265395e-13
8.248248248248249e-1	-3.1390242175070966e1	-2.9618758636818104e-13
8.252252252252252e-1	-3.255110851879943e1	-3.651813022959884e-13
8.256256256256257e-1	-3.374606189549998e1	-7.202597193289748e-13
8.26026026026026e-1	-3.497674656936224e1	8.47117246379535e-13
8.264264264264265e-1	-3.6244915937553785e1	8.379164736925139e-13
8.268268268268268e-1	-3.7552439223714224e1	5.134109982517328e-13
8.272272272272273e-1	-3.890130991341837e1	-8.858233420929572e-14
8.276276276276276e-1	-4.029365972750733e1	-9.018803275330461e-13
8.280280280280281e-1	-4.1731766699095466e1	5.059868716965138e-13
8.284284284284285e-1	-4.321807449880469e1	-6.717304496197769e-13
8.288288288288289e-1	-4.475519577555729e1	4.0841195259481483e-13
8.292292292292293e-1	-4.634594217665716e1	1.643141019396193e-14
8.296296296296297e-1	-4.7993332846267016e1	-1.0697075273783663e-12
8.300300300300301e-1	-4.970061552895702e1	2.331486225284225e-13
8.304304304304304e-1	-5.147129285471093e1	-6.40603954884874e-13
8.308308308308309e-1	-5.330914611629487e1	8.54796008623431e-13
8.312312312312312e-1	-5.521825947343238e1	9.770610319332244e-13
8.316316316316317e-1	-5.720305576063909e1	4.4473211318737853e-13
8.32032032032032e-1	-5.9268331954248815e1	-2.206592375333732e-13
8.324324324324325e-1	-6.141929792154581e1	-5.371599618728121e-13
8.328328328328328e-1	-6.3661620339205534e1	-4.146735330323689e-13
8.332332332332333e-1	-6.600147818737064e1	-2.200769458624864e-13
8.336336336336336e-1	-6.844561963403935e1	-3.3262767534497984e-13
8.340340340340341e-1	-7.100142685180599e1	6.231779805994919e-13
8.344344344344344e-1	-7.36769985972535e1	-2.7661675139193846e-13
8.348348348348349e-1	-7.648123141072372e1	-3.698220419256862e-13
8.352352352352352e-1	-7.94239281424335e1	8.021519377294358e-14
8.356356356356357e-1	-8.251590825556322e1	-1.1142990441756572e-12
8.36036036036036e-1	-8.576915262529155e1	-3.1547712698258915e-13
8.364364364364365e-1	-8.919695362351037e1	-1.5932096827054779e-13
8.368368368368369e-1	-9.281410946320472e1	-4.946176893446892e-13
8.372372372372373e-1	-9.663713363252978e1	-5.10717521648807e-13
8.376376376376377e-1	-1.0068452109528687e2	-3.078746194901774e-13
8.380380380380381e-1	-1.0497704531043581e2	-4.1645903704364316e-13
8.384384384384385e-1	-1.0953812878334058e2	-3.670535383066848e-13
8.388388388388389e-1	-1.1439427069609746e2	-4.881851002610287e-13
8.392392392392393e-1	-1.195755784260063e2	-1.1235961119980581e-13
8.396396396396397e-1	-1.2511639520455053e2	-8.152768323942427e-13
8.400400400400401e-1	-1.31056076558321e2	-4.555490818343254e-13
8.404404404404404e-1	-1.3743994112602957e2	-3.524057057429804e-13
8.408408408408409e-1	-1.4432043807587976e2	1.06144271430497e-13
8.412412412412413e-1	-1.5175861389218434e2	-5.618135465310665e-14
8.416416416416417e-1	-1.5982594427757934e2	9.859572977234209e-14
8.42042042042042e-1	-1.686066635923912e2	-4.3857734611733893e-13
8.424424424424425e-1	-1.782007436906084e2	-5.76041319959135e-13
8.428428428428428e-1	-1.8872775031150078e2	-1.0814786072867015e-13
8.432432432432433e-1	-2.003318902717923e2	-9.14939531343853e-14
8.436436436436436e-1	-2.1318870477392912e2	1.2431839054754296e-12
8.440440440440441e-1	-2.275140657137304e2	6.684634432675698e-13
8.444444444444444e-1	-2.4357646867482038e2	9.691841786940641e-13
8.448448448448449e-1	-2.617141078012488e2	-9.221286768525329e-13
8.452452452452452e-1	-2.8235905870491916e2	-1.0829623000333091e-12
8.456456456456457e-1	-3.0607228853094136e2	2.221103769387904e-14
8.46046046046046e-1	-3.3359559066960014e2	2.2478824807694328e-13
8.464464464464465e-1	-3.659308284115795e2	2.976658682465044e-13
8.468468468468469e-1	-4.044648642644915e2	8.530929574880276e-14
8.472472472472473e-1	-4.511741461235139e2	-1.0096213260384367e-12
8.476476476476477e-1	-5.089752790007413e2	-8.053503441741324e-13
8.480480480480481e-1	-5.823594858468695e2	2.8807927364592897e-13
8.484484484484485e-1	-6.78621052255285e2	9.748657305956578e-13
8.488488488488489e-1	-8.104484248625142e2	-7.61865691931725e-13
8.492492492492493e-1	-1.0020413761268082e3	1.924582195612219e-13
8.496496496496497e-1	-1.3059946214831227e3	2.000300072393354e-13
8.500500500500501e-1	-1.8622323091938547e3	-6.896396461207638e-13
8.504504504504505e-1	-3.20790081393032e3	1.1740703131367387e-12
8.508508508508509e-1	-1.1133075657593798e4	0e0
8.512512512512513e-1	7.762231935216489e3	0e0
8.516516516516517e-1	2.904312835748762e3	-8.171836200228813e-13
8.52052052052052e-1	1.796216085163149e3	7.465602064683098e-13
8.524524524524525e-1	1.3052351695695415e3	-9.287214202307675e-13
8.528528528528528e-1	1.0281119510020183e3	-1.0195009943320413e-12
8.532532532532533e-1	8.500948485820622e2	-2.2789790002120495e-13
8.536536536536536e-1	7.260739261164026e2	1.1209879315398754e-12
8.540540540540541e-1	6.347095544827187e2	1.0173832643021139e-12
8.544544544544544e-1	5.645979390882054e2	3.840838425586725e-13
8.548548548548549e-1	5.090913377838263e2	-3.040086565933263e-13
8.552552552552553e-1	4.640527247971719e2	-1.1234306340683612e-12
8.556556556556557e-1	4.267727504586233e2	1.0415516831475668e-12
8.560560560560561e-1	3.954027895426093e2	3.8566233586230606e-13
8.564564564564565e-1	3.686382909744181e2	4.3095399527825393e-13
8.568568568568569e-1	3.455323348557301e2	1.0049140418726612e-12
8.572572572572573e-1	3.2538094204318764e2	1.1354772245116605e-12
8.576576576576577e-1	3.07649859939975e2	-1.1283289631160168e-13
8.580580580580581e-1	2.9192631760884575e2	-8.440002007734386e-13
8.584584584584585e-1	2.778863551099006e2	5.294855474599574e-13
8.588588588588589e-1	2.652721573588932e2	4.064334520109996e-13
8.592592592592593e-1	2.5387599010955165e2	-1.9543971503351814e-13
8.596596596596597e-1	2.4352860893443838e2	-4.708242985191815e-13
8.600600600600601e-1	2.3409072980243326e2	1.0975378144657553e-12
8.604604604604605e-1	2.254466898880115e2	3.3534218117023433e-13
8.608608608608609e-1	2.1749963680556652e2	5.236609041490674e-13
8.612612612612613e-1	2.1016785746125123e2	-5.458632732852225e-13
8.616616616616617e-1	2.0338193111430783e2	4.716855930944024e-13
8.62062062062062e-1	1.970825003433277e2	-7.532695963254665e-13
8.624624624624625e-1	1.912185123240548e2	4.1260752232558864e-13
8.628628628628628e-1	1.857458137621734e2	6.673183104675226e-13
8.632632632632633e-1	1.8062602679253624e2	-2.8202634523836674e-13
8.636636636636636e-1	1.758256310230606e2	1.8498162130253597e-13
8.640640640640641e-1	1.713152202472603e2	1.063250376772145e-12
8.644644644644645e-1	1.6706888968101143e2	4.738859370394169e-13
8.648648648648649e-1	1.6306373019713246e2	-2.1073844906083257e-13
8.652652652652653e-1	1.592794083937752e2	-4.78545399004033e-13
8.656656656656657e-1	1.556978101252172e2	-9.48204858719996e-14
8.660660660660661e-1	1.52302752938378e2	-8.313974471909107e-13
8.664664664664665e-1	1.4907972669464817e2	5.229526962947663e-13
8.668668668668669e-1	1.460156915171531e2	1.197347247951661e-12
8.672672672672673e-1	1.4309888936289704e2	3.943774045868229e-13
8.676676676676677e-1	1.4031869533736972e2	5.156205071610825e-13
8.680680680680681e-1	1.3766548014554232e2	-8.020744481253176e-13
8.684684684684685e-1	1.351304977429434e2	1.0938565813176365e-12
8.688688688688689e-1	1.3270578838019173e2	-1.0458899247868413e-13
8.692692692692693e-1	1.3038409025582345e2	-2.6058374151995043e-13
8.696696696696697e-1	1.281587634233176e2	2.217233794356004e-13
8.700700700700701e-1	1.2602372681026476e2	-4.58212716066391e-13
8.704704704704704e-1	1.239733986779122e2	1.0121299371675524e-12
8.708708708708709e-1	1.2200265000404092e2	-6.008818231677046e-13
8.712712712712714e-1	1.2010675519881929e2	8.010635565737226e-13
8.716716716716717e-1	1.182813536203991e2	-8.312618810530485e-13
8.72072072072072e-1	1.1652241899106326e2	2.9733088904791636e-13
8.724724724724725e-1	1.1482622364432112e2	8.329251380295091e-13
8.72872872872873e-1	1.1318931448192053e2	-4.65758033429345e-13
8.732732732732733e-1	1.1160848543418285e2	1.861919739577671e-13
8.736736736736737e-1	1.1008075532431636e2	9.957984484409146e-13
8.740740740740741e-1	1.086033546504692e2	2.2238624399449198e-13
8.744744744744745e-1	1.0717369809182424e2	-8.743334677857388e-13
8.748748748748749e-1	1.0578937603322427e2	2.0095772416204782e-13
8.752752752752753e-1	1.0444813803440363e2	-1.1145926878374095e-12
8.756756756756757e-1	1.031478782141642e2	1.0787302680710236e-12
8.760760760760761e-1	1.0188662589465679e2	-2.964396276124077e-14
8.764764764764765e-1	1.006625353388683e2	3.404056831080169e-13
8.768768768768769e-1	9.947387309918848e1	-1.8430300123802003e-13
8.772772772772773e-1	9.831901367499908e1	-7.77180759731164e-14
8.776776776776777e-1	9.719642518507568e1	-8.396877053385982e-13
8.780780780780781e-1	9.61046715332949e1	-4.738575557347596e-13
8.784784784784785e-1	9.504239552309588e1	5.554610597464737e-13
8.788788788788789e-1	9.400831953147424e1	-5.555717359518746e-13
8.792792792792793e-1	9.300124046748415e1	4.2372866616199066e-13
8.796796796796797e-1	9.202001971439738e1	4.5015246255330656e-13
8.800800800800801e-1	9.106357990721395e1	-1.2012940929951106e-12
8.804804804804806e-1	9.013090696464278e1	8.306910827051828e-13
8.808808808808809e-1	8.9221036295228e1	-6.261822033316631e-14
8.812812812812814e-1	8.833305769802818e1	-1.0522964380477546e-12
8.816816816816817e-1	8.746610630638628e1	-5.390268727083812e-14
8.82082082082082e-1	8.661936229230515e1	-1.4011361286083196e-13
8.824824824824825e-1	8.579204625595665e1	1.0619541135577284e-13
8.82882882882883e-1	8.498342204031385e1	-2.690134524338171e-13
8.832832832832833e-1	8.419278434524036e1	-8.421238784184726e-13
8.836836836836837e-1	8.341946621578789e1	-2.6346198139236897e-13
8.840840840840841e-1	8.266283166033597e1	-3.615522945434472e-13
8.844844844844845e-1	8.192227448802656e1	-4.437659921907229e-13
8.848848848848849e-1	8.119721759750284e1	9.851778910156622e-13
8.852852852852853e-1	8.048711146177078e1	-9.538685656715315e-13
8.856856856856857e-1	7.97914311232356e1	9.524249023445084e-13
8.860860860860861e-1	7.910967444745543e1	-9.584754105306836e-13
8.864864864864865e-1	7.844136358904551e1	1.051014061411696e-12
8.868868868868869e-1	7.778604068401732e1	7.898840194604624e-13
8.872872872872873e-1	7.714326970916606e1	-2.5868707203296906e-14
8.876876876876877e-1	7.651263176484628e1	-1.1156847956862175e-12
8.880880880880881e-1	7.589372713564217e1	-7.505251191842528e-14
8.884884884884885e-1	7.52861702066893e1	-1.211276127575459e-12
8.88888888888889e-1	7.468959678628416e1	4.158972560153863e-13
8.892892892892893e-1	7.410365379743878e1	-2.3481645724029803e-14
8.896896896896898e-1	7.352800427550419e1	6.75638372721395e-13
8.900900900900901e-1	7.296232334075816e1	6.04527147263354e-14
8.904904904904906e-1	7.240630206921153e1	-8.559413819473772e-13
