position	wave function	potential
2.4926685469131243e1	-2.6032901624577216e-40	-2.7952742095233716e0
2.5037700047877777e1	-2.6468945459845864e-40	-2.7218093233008887e0
2.514871462662431e1	-2.687179428749933e-40	-2.650585501281204e0
2.5259729205370846e1	-2.724182445925708e-40	-2.5815250389581217e0
2.537074378411738e1	-2.757945063952801e-40	-2.51455324496596e0
2.5481758362863914e1	-2.7885122033760557e-40	-2.4495983120999822e0
2.559277294161045e1	-2.815931882856265e-40	-2.386591194365911e0
2.5703787520356983e1	-2.840254883730141e-40	-2.325465489753643e0
2.5814802099103517e1	-2.8615344344537296e-40	-2.266157328446766e0
2.592581667785005e1	-2.8798259142374577e-40	-2.2086052661951197e0
2.6036831256596585e1	-2.895186575162065e-40	-2.152750182592308e0
2.614784583534312e1	-2.907675282052554e-40	-2.098535184013924e0
2.6258860414089654e1	-2.9173522693806634e-40	-2.045905510985318e0
2.6369874992836188e1	-2.9242789144652324e-40	-1.9948084497600391e0
2.6480889571582722e1	-2.9285175262435616e-40	-1.9451932479017042e0
2.6591904150329256e1	-2.930131148893259e-40	-1.8970110336730028e0
2.670291872907579e1	-2.929183379595064e-40	-1.850214739045885e0
2.6813933307822325e1	-2.9257381997398865e-40	-1.8047590261567397e0
2.692494788656886e1	-2.9198598188987036e-40	-1.7606002170395836e0
2.7035962465315393e1	-2.911612530891014e-40	-1.7176962264789786e0
2.7146977044061927e1	-2.901060581306829e-40	-1.6760064978326072e0
2.725799162280846e1	-2.8882680458562764e-40	-1.6354919416812037e0
2.7369006201554996e1	-2.8732987189421544e-40	-1.596114877170861e0
2.748002078030153e1	-2.8562160118721846e-40	-1.55783897591967e0
2.7591035359048064e1	-2.837082860149278e-40	-1.5206292083671853e0
2.7702049937794598e1	-2.815961639300668e-40	-1.4844517924514185e0
2.7813064516541132e1	-2.792914088728401e-40	-1.4492741445038981e0
2.7924079095287667e1	-2.7680012430862416e-40	-1.4150648322588826e0
2.80350936740342e1	-2.7412833707096927e-40	-1.3817935298780433e0
2.817386189746736e1	-2.705438193051098e-40	-1.3414789966327278e0
2.828487647621389e1	-2.674875034102887e-40	-1.310212778964177e0
2.8395891054960416e1	-2.6426968050419914e-40	-1.2797931454227383e0
2.8506905633706943e1	-2.6089599759465548e-40	-1.2501940137522687e0
2.861792021245347e1	-2.5737200260288638e-40	-1.2213902015447582e0
2.8728934791199997e1	-2.5370314167395176e-40	-1.1933573919140135e0
2.8839949369946524e1	-2.498947569112792e-40	-1.1660721006021892e0
2.895096394869305e1	-2.459520845043876e-40	-1.139511644454291e0
2.9061978527439578e1	-2.4188025322057125e-40	-1.1136541111989393e0
2.9172993106186105e1	-2.37684283232959e-40	-1.0884783304766699e0
2.9284007684932632e1	-2.3336908525894825e-40	-1.0639638460599028e0
2.939502226367916e1	-2.289394599845293e-40	-1.0400908892113983e0
2.9506036842425686e1	-2.2440009775144795e-40	-1.0168403531305699e0
2.9617051421172214e1	-2.197555784855458e-40	-9.941937684394613e-1
2.972806599991874e1	-2.15010371845941e-40	-9.721332796624844e-1
2.9839080578665268e1	-2.101688375759572e-40	-9.506416226561988e-1
2.9950095157411795e1	-2.0523522603790917e-40	-9.297021029474907e-1
3.0061109736158322e1	-2.0021367891498853e-40	-9.09298574940469e-1
3.017212431490485e1	-1.9510823006458013e-40	-8.89415421954269e-1
3.0283138893651376e1	-1.8992280650834873e-40	-8.700375370557224e-1
3.0394153472397903e1	-1.8466122954541324e-40	-8.511503046525396e-1
3.050516805114443e1	-1.7932721597584974e-40	-8.327395828142514e-1
3.0616182629890957e1	-1.7392437942261587e-40	-8.147916862896705e-1
3.0727197208637484e1	-1.6845623174083359e-40	-7.972933701910874e-1
3.083821178738401e1	-1.629261845041168e-40	-7.802318143167808e-1
3.094922636613054e1	-1.5733755055838406e-40	-7.635946080847316e-1
3.1060240944877066e1	-1.5169354563426747e-40	-7.473697360516682e-1
3.1171255523623593e1	-1.4599729000988984e-40	-7.315455639927539e-1
3.128227010237012e1	-1.4025181021638552e-40	-7.161108255183488e-1
3.1393284681116647e1	-1.3446004077912154e-40	-7.01054609205344e-1
3.1504299259863174e1	-1.2862482598810975e-40	-6.863663462215858e-1
3.16153138386097e1	-1.2274892169160945e-40	-6.720357984228728e-1
3.172632841735623e1	-1.1683499710739636e-40	-6.580530469029273e-1
3.1837342996102755e1	-1.1088563664661713e-40	-6.444084809776239e-1
3.1948357574849283e1	-1.0490334174557363e-40	-6.310927875855842e-1
3.205937215359582e1	-9.889053270116026e-41	-6.180969410880478e-1
3.217038673234235e1	-9.28495505060554e-41	-6.054121934516881e-1
3.2281401311088885e1	-8.678265868010354e-41	-5.93030064798747e-1
3.239241588983542e1	-8.069204509464496e-41	-5.809423343095723e-1
3.250343046858195e1	-7.457982378685055e-41	-5.691410314632739e-1
3.261444504732849e1	-6.844803676139431e-41	-5.576184276028554e-1
3.272545962607502e1	-6.229865577705913e-41	-5.463670278117596e-1
3.2836474204821556e1	-5.613358411610936e-41	-5.353795630893408e-1
3.294748878356809e1	-4.995465833449092e-41	-5.246489828133131e-1
3.3058503362314624e1	-4.376364999112623e-41	-5.141684474777409e-1
3.316951794106116e1	-3.756226735476757e-41	-5.039313216956295e-1
3.328053251980769e1	-3.135215708705076e-41	-4.9393116745563903e-1
3.339154709855423e1	-2.513490590055916e-41	-4.8416173762289805e-1
3.350256167730076e1	-1.891204219086085e-41	-4.7461696967431305e-1
3.3613576256047295e1	-1.268503764162641e-41	-4.652909796591851e-1
3.372459083479383e1	-6.455308802066057e-42	-4.561780563763249e-1
3.3835605413540364e1	-2.2421863604726552e-43	-4.472726557592372e-1
3.39466199922869e1	6.006921957634383e-42	-4.3856939546129287e-1
3.405763457103343e1	1.2236852654253903e-41	-4.300630496331508e-1
3.416864914977997e1	1.846436224175351e-41	-4.217485438850108e-1
3.42796637285265e1	2.4688287189177837e-41	-4.136209504265898e-1
3.4390678307273035e1	3.090751024510817e-41	-4.0567548337800846e-1
3.450169288601957e1	3.712095906618338e-41	-3.979074942450554e-1
3.46127074647661e1	4.3327604875728036e-41	-3.903124675525688e-1
3.472372204351264e1	4.952646115244714e-41	-3.8288601662992794e-1
3.483473662225917e1	5.571658234909111e-41	-3.756238795428985e-1
3.4945751201005706e1	6.189706264094481e-41	-3.685219151663062e-1
3.505676577975224e1	6.806703470394961e-41	-3.6157609939224167e-1
3.5167780358498774e1	7.422566852222398e-41	-3.5478252146871236e-1
3.527879493724531e1	8.037217022471371e-41	-3.4813738046386383e-1
3.54453168053651e1	8.956752435393462e-41	-3.3843993468329586e-1
3.555633138411163e1	9.568044962149954e-41	-3.321499470930097e-1
3.566734596285816e1	1.0177873274166604e-40	-3.259959097296881e-1
3.5778360541604684e1	1.0786172886345285e-40	-3.1997447523485967e-1
3.588937512035121e1	1.1392882338805509e-40	-3.140823886679764e-1
3.600038969909774e1	1.1997943098628544e-40	-3.083164846807619e-1
3.6111404277844265e1	1.2601299464228867e-40	-3.0267368478626755e-1
3.622241885659079e1	1.3202898472307329e-40	-2.9715099471918593e-1
3.633343343533732e1	1.3802689807339763e-40	-2.917455018841076e-1
3.644444801408385e1	1.440062571355373e-40	-2.8645437288853465e-1
3.6555462592830374e1	1.4996660909345462e-40	-2.812748511575918e-1
3.66664771715769e1	1.559075250408873e-40	-2.762042546274927e-1
3.677749175032343e1	1.6182859917286818e-40	-2.7123997351493534e-1
3.6888506329069955e1	1.6772944800018492e-40	-2.6637946815970853e-1
3.699952090781648e1	1.7360970958629156e-40	-2.6162026693789786e-1
3.711053548656301e1	1.7946904280617805e-40	-2.5695996424317763e-1
3.7221550065309536e1	1.853071266267088e-40	-2.523962185337759e-1
3.733256464405606e1	1.9112365940794363e-40	-2.4792675044278797e-1
3.744357922280259e1	1.9691835822495193e-40	-2.4354934094960418e-1
3.755459380154912e1	2.026909582096407e-40	-2.3926182961030448e-1
3.7665608380295645e1	2.0844121191211694e-40	-2.350621128449509e-1
3.777662295904217e1	2.1416888868111077e-40	-2.3094814227978885e-1
3.78876375377887e1	2.1987377406299124e-40	-2.2691792314244388e-1
3.7998652116535226e1	2.255556692189094e-40	-2.2296951270827128e-1
3.810966669528175e1	2.3121439035961593e-40	-2.1910101879608532e-1
3.822068127402828e1	2.3684976819749736e-40	-2.1531059831156227e-1
3.833169585277481e1	2.424616474153913e-40	-2.115964558366737e-1
3.8442710431521334e1	2.4804988615174e-40	-2.0795684226356834e-1
3.855372501026786e1	2.5361435550165575e-40	-2.0439005347137978e-1
3.866473958901439e1	2.591549390334722e-40	-2.0089442904449273e-1
3.8775754167760915e1	2.646715323203681e-40	-1.974683510308557e-1
3.888676874650744e1	2.7016404248665576e-40	-1.9411024273897926e-1
3.899778332525397e1	2.756323877683354e-40	-1.9081856757230897e-1
3.91087979040005e1	2.8107649708752276e-40	-1.8759182789971068e-1
3.9219812482747024e1	2.864963096403667e-40	-1.844285639608509e-1
3.933082706149355e1	2.9189177449807956e-40	-1.8132735280530038e-1
3.944184164024008e1	2.9726285022071465e-40	-1.782868072642306e-1
3.9552856218986605e1	3.0260950448333046e-40	-1.7530557495361457e-1
3.966387079773313e1	3.079317137141876e-40	-1.7238233730788147e-1
3.977488537647966e1	3.132294627446394e-40	-1.6951580864301435e-1
3.9885899955226186e1	3.18502744470373e-40	-1.667047352481141e-1
3.999691453397271e1	3.2375155952367943e-40	-1.6394789450448968e-1
4.010792911271924e1	3.2897591595642975e-40	-1.612440940313673e-1
4.021894369146577e1	3.3417582893344517e-40	-1.5859217085734367e-1
4.0329958270212295e1	3.3935132043595395e-40	-1.5599099061673943e-1
4.044097284895882e1	3.445024189748409e-40	-1.5343944677003898e-1
4.055198742770535e1	3.4962915931339872e-40	-1.509364598476315e-1
4.0663002006451876e1	3.5473158219929603e-40	-1.484809767160956e-1
4.07740165851984e1	3.5980973410549082e-40	-1.4607196986629647e-1
4.088503116394493e1	3.6486366697981707e-40	-1.437084367225905e-1
4.099604574269146e1	3.698934380029887e-40	-1.413893989724564e-1
4.1107060321437984e1	3.748991093547575e-40	-1.3911390191589587e-1
4.121807490018451e1	3.79880747987988e-40	-1.3688101383397e-1
4.132908947893104e1	3.848384254104029e-40	-1.346898253758583e-1
4.1440104057677566e1	3.8977221747376086e-40	-1.3253944896385042e-1
4.155111863642409e1	3.946822041702482e-40	-1.3042901821569913e-1
4.166213321517062e1	3.99568469435854e-40	-1.2835768738378373e-1
4.177314779391715e1	4.044311009605193e-40	-1.2632463081055173e-1
4.1884162372663674e1	4.092701900048453e-40	-1.2432904239972485e-1
4.19951769514102e1	4.140858312231611e-40	-1.223701351027729e-1
4.210619153015673e1	4.1887812249275e-40	-1.204471404201759e-1
4.2217206108903255e1	4.236471647490448e-40	-1.185593079170112e-1
4.232822068764978e1	4.283930618266027e-40	-1.167059047524181e-1
4.243923526639631e1	4.331159203056781e-40	-1.1488621522250742e-1
4.255024984514284e1	4.378158493642204e-40	-1.1309954031629796e-1
4.2661264423889364e1	4.424929606351221e-40	-1.1134519728427612e-1
4.277227900263589e1	4.471473680685498e-40	-1.0962251921918827e-1
4.288329358138242e1	4.517791877992025e-40	-1.0793085464868836e-1
4.2994308160128945e1	4.563885380183343e-40	-1.0626956713947648e-1
4.310532273887547e1	4.6097553885039295e-40	-1.0463803491257517e-1
4.3216337317622e1	4.655403122341219e-40	-1.0303565046940276e-1
4.3327351896368526e1	4.700829818079933e-40	-1.0146182022831442e-1
4.343836647511505e1	4.7460367279982025e-40	-9.991596417129146e-2
4.354938105386158e1	4.791025119204209e-40	-9.839751550047136e-2
4.366039563260811e1	4.8357962726120245e-40	-9.690592030421938e-2
4.3771410211354635e1	4.880351481955376e-40	-9.544063723245443e-2
4.388242479010116e1	4.924692052838085e-40	-9.400113718094924e-2
4.399343936884769e1	4.9688193018200275e-40	-9.258690298433564e-2
4.4104453947594216e1	5.012734555537442e-40	-9.119742911755323e-2
4.421546852634074e1	5.056439149856462e-40	-8.983222140548909e-2
4.432648310508727e1	5.099934429058744e-40	-8.84907967405641e-2
4.44374976838338e1	5.143221745058232e-40	-8.717268280802887e-2
4.4548512262580324e1	5.186302456647969e-40	-8.58774178187406e-2
4.477054142007338e1	5.271849531855887e-40	-8.335363858862793e-2
4.499257057756643e1	5.356586635786354e-40	-8.09159655450454e-2
4.521459973505949e1	5.440524816106905e-40	-7.85610576694529e-2
4.543662889255254e1	5.523675167679146e-40	-7.628571907084307e-2
4.5658658050045595e1	5.606048814709575e-40	-7.408689201538995e-2
4.588068720753865e1	5.687656894320679e-40	-7.196165032255966e-2
4.6102716365031704e1	5.7685105414483105e-40	-6.990719310676799e-2
4.632474552252476e1	5.8486208749771724e-40	-6.792083884495626e-2
4.654677468001781e1	5.927998985031729e-40	-6.600001975165877e-2
4.6768803837510866e1	6.006655921345051e-40	-6.414227644425856e-2
4.699083299500392e1	6.084602682632881e-40	-6.2345252882177675e-2
4.7212862152496974e1	6.161850206904836e-40	-6.060669156472996e-2
4.743489130999003e1	6.238409362648867e-40	-5.892442897328224e-2
4.765692046748308e1	6.314290940829267e-40	-5.729639124422854e-2
4.787894962497614e1	6.389505647642139e-40	-5.5720590060085916e-2
4.810097878246919e1	6.4640640979759125e-40	-5.419511874677288e-2
4.8323007939962245e1	6.537976809527759e-40	-5.271814856583611e-2
4.85450370974553e1	6.6112541975299965e-40	-5.128792519105093e-2
4.8767066254948354e1	6.683906570043361e-40	-4.990276535944004e-2
4.898909541244141e1	6.755944123776972e-40	-4.8561053687334134e-2
4.921112456993446e1	6.8273769403972265e-40	-4.726123964264205e-2
4.9433153727427516e1	6.898214983290429e-40	-4.600183466500751e-2
4.965518288492057e1	6.968468094746182e-40	-4.4781409426008056e-2
4.9877212042413625e1	7.0381459935306975e-40	-4.3598591222000015e-2
5.009924119990668e1	7.107258272821253e-40	-4.2452061492635224e-2
5.032127035739973e1	7.175814398474806e-40	-4.1340553458470417e-2
5.054329951489279e1	7.243823707605637e-40	-4.026284987146143e-2
5.076532867238584e1	7.311295407448473e-40	-3.921778087248381e-2
5.0987357829878896e1	7.37823857448512e-40	-3.820422195034911e-2
5.120938698737195e1	7.444662153814141e-40	-3.7221091997094405e-2
5.1431416144865004e1	7.510574958744341e-40	-3.6267351454612594e-2
5.165344530235806e1	7.57598567059425e-40	-3.534200054796328e-2
5.187547445985111e1	7.64090283868087e-40	-3.444407760096094e-2
5.209750361734417e1	7.705334880482142e-40	-3.3572657429877986e-2
5.231953277483722e1	7.769290081958613e-40	-3.272684981132778e-2
5.2541561932330275e1	7.8327765980207e-40	-3.190579802060613e-2
5.276359108982333e1	7.895802453129066e-40	-3.1108677436971592e-2
5.298562024731638e1	7.958375542016208e-40	-3.0334694212534315e-2
5.320764940480944e1	8.020503630518326e-40	-2.9583084001601916e-2
5.342967856230249e1	8.082194356507397e-40	-2.885311074749944e-2
5.3651707719795546e1	8.143455230913738e-40	-2.814406552403917e-2
5.38737368772886e1	8.204293638830454e-40	-2.745526542896575e-2
5.4095766034781654e1	8.264716840691332e-40	-2.678605252684333e-2
5.431779519227471e1	8.324731973514738e-40	-2.6135792838984637e-2
