position	channel_1	channel_2
7.158494443732161e0	5.341270805137147e-45	2.3112792064336417e-48
7.173178640386803e0	6.557633499899972e-45	2.923585987179005e-48
7.187862837041445e0	8.022116513347397e-45	3.6833655730587683e-48
7.202547033696087e0	9.778896882268468e-45	4.622404044616032e-48
7.217231230350729e0	1.1878709534087368e-44	5.77846965141478e-48
7.2319154270053705e0	1.4379580005219719e-44	7.196254063190667e-48
7.246599623660012e0	1.734759854905738e-44	8.928426129369321e-48
7.261283820314654e0	2.0857731246260279e-44	1.1036805315745813e-47
7.275968016969296e0	2.4994662367570787e-44	1.359366135057132e-47
7.290652213623938e0	2.98536607725048e-44	1.668314573771122e-47
7.30533641027858e0	3.554146157107992e-44	2.040285965900527e-47
7.320020606933221e0	4.217715264941293e-44	2.4865561370678506e-47
7.334704803587863e0	4.989305398659833e-44	3.0201014481557185e-47
7.349389000242505e0	5.883557599705314e-44	3.6557976469680433e-47
7.364073196897147e0	6.916604145045138e-44	4.41063244388522e-47
7.378757393551789e0	8.106145388492945e-44	5.30393124332559e-47
7.3934415902064305e0	9.471519387624844e-44	6.357595161827864e-47
7.408125786861072e0	1.1033762309617684e-43	7.59635013077444e-47
7.422809983515714e0	1.2815657482973108e-43	9.04800551881169e-47
7.437494180170356e0	1.4841770856678814e-43	1.0743720318360322e-46
7.452178376824998e0	1.7138470548222528e-43	1.2718274525532244e-46
7.46686257347964e0	1.9733928111409803e-43	1.5010342907552005e-46
7.4815467701342815e0	2.2658099138239413e-43	1.766276790151526e-46
7.496230966788923e0	2.5942680830107115e-43	2.072282792908692e-46
7.510915163443565e0	2.9621044235859674e-43	2.4242496950485687e-46
7.525599360098207e0	3.3728138960757313e-43	2.8278690625599304e-46
7.540283556752849e0	3.830036830370909e-43	3.289349400889937e-46
7.567816425480315e0	4.8259082511718195e-43	4.334485798671022e-46
7.5971848187896125e0	6.112204392134106e-43	5.756318848162478e-46
7.62655321209891e0	7.661392455973374e-43	7.56310364251637e-46
7.655921605408208e0	9.505805996838118e-43	9.833433228797676e-46
7.685289998717506e0	1.167661000497105e-42	1.2654834696693536e-45
7.714658392026804e0	1.42023796190389e-42	1.6122955237863456e-45
7.744026785336102e0	1.7107497047991226e-42	2.034018314616441e-45
7.7733951786454e0	2.0410410597380692e-42	2.54136356340101e-45
7.810105670282018e0	2.5113858521976597e-42	3.3125727947320145e-45
7.8688424569006e0	3.3953306205035364e-42	4.911854249301482e-45
7.97897393181044e0	5.4156738911248044e-42	9.332969408701746e-45
8.041381767592693e0	6.66743920381997e-42	1.271574371043581e-44
8.100118554211289e0	7.8079263239817e-42	1.6420516930084892e-44
8.158855340829884e0	8.805811397631497e-42	2.0489760623353556e-44
8.202907930793831e0	9.392398738007527e-42	2.364735373795653e-44
8.259809192830595e0	9.860200177066292e-42	2.763068213621926e-44
8.289177586139878e0	9.946203538168208e-42	2.954483683987764e-44
8.318545979449162e0	9.912345658425332e-42	3.129522402725577e-44
8.347914372758446e0	9.750441705918532e-42	3.282732025556439e-44
8.37728276606773e0	9.454789444389723e-42	3.4085397460621887e-44
8.406651159377013e0	9.022488636397584e-42	3.501394534065766e-44
8.436019552686297e0	8.453690250211406e-42	3.5559228310223645e-44
8.46538794599558e0	7.751763988339136e-42	3.5670936333525614e-44
8.494756339304864e0	6.923375373950249e-42	3.5303882686054187e-44
8.524124732614148e0	5.978466739635939e-42	3.4419696886565855e-44
8.553493125923431e0	4.930139827248421e-42	3.29884579405686e-44
8.582861519232715e0	3.7944411846592196e-42	3.0990211826767985e-44
8.612229912541999e0	2.5900549893492787e-42	2.8416317948235073e-44
8.641598305851282e0	1.3379111985801816e-42	2.5270572087700496e-44
8.670966699160566e0	6.071989142408946e-44	2.1570058196165632e-44
8.70033509246985e0	-1.217554784232524e-42	1.7345687970433252e-44
8.729703485779133e0	-2.4722656085900995e-42	1.264239542877615e-44
8.759071879088417e0	-3.6786813191513055e-42	7.518963300798662e-45
8.7884402723977e0	-4.812595919141582e-42	2.0474686808550788e-45
8.817808665706984e0	-5.850930304060832e-42	-3.6876533111539985e-45
8.847177059016268e0	-6.772308659447796e-42	-9.590917551044702e-45
8.876545452325551e0	-7.557593083651345e-42	-1.555744686063959e-44
8.905913845634835e0	-8.190361419837672e-42	-2.1474947204590114e-44
8.935282238944119e0	-8.657315267178639e-42	-2.722595740106788e-44
8.964650632253402e0	-8.948607494107913e-42	-3.269032177324743e-44
8.994019025562686e0	-9.058081199638283e-42	-3.774782682142981e-44
9.02338741887197e0	-8.983414860157745e-42	-4.2280937369303346e-44
9.052755812181253e0	-8.726171256759233e-42	-4.617756389738605e-44
