mass scale factor	scattering length real	scattering length imag
1.0110552763819096e0	-5.796511320134474e2	-1.8142008815729355e-13
1.013065326633166e0	5.659235312094839e2	-1.4583915687495874e-13
1.015075376884422e0	1.8517168239114238e2	-7.257368380046536e-13
1.0170854271356784e0	1.058830390554576e2	3.758266243587381e-13
1.0190954773869347e0	6.969053028921962e1	-1.814138220505832e-13
1.021105527638191e0	4.757632778838204e1	-3.2757415330597435e-13
1.0231155778894472e0	3.1527609807743723e1	4.3250291266159556e-13
1.0251256281407035e0	1.8372401206396958e1	-5.492627401669771e-13
1.0271356783919598e0	6.502954488543878e0	-4.959380072286593e-13
1.0291457286432162e0	-5.082271417219083e0	9.986196897204022e-14
1.0311557788944723e0	-1.7172082913498578e1	5.20497435814663e-13
1.0331658291457286e0	-3.0566164238563722e1	-1.8658753503306378e-13
1.035175879396985e0	-4.6259101904348434e1	8.093593335857767e-14
1.0371859296482413e0	-6.571164843447974e1	-4.3410452072156926e-13
1.0391959798994974e0	-9.136797600115887e1	3.187554391240393e-13
1.0412060301507537e0	-1.278629675861367e2	1.6432353616854055e-12
1.04321608040201e0	-1.8542209006939746e2	-1.9720222990976102e-13
1.0452261306532664e0	-2.922524332229832e2	9.311237774762879e-13
1.0472361809045228e0	-5.657672662729992e2	1.0458157657577154e-12
1.0492462311557789e0	-2.907687718303847e3	7.048984069940159e-13
1.0512562814070352e0	1.1036974980391842e3	1.37081816697259e-12
1.0532663316582915e0	4.9467912416721504e2	3.396133250120016e-13
1.0552763819095476e0	3.299914434091454e2	2.408004660596811e-13
1.057286432160804e0	2.5296852200179262e2	-1.4783052895512255e-12
1.0592964824120603e0	2.0810707835244958e2	-7.861736403532695e-13
1.0613065326633166e0	1.7861048110330137e2	-1.9853317574973202e-13
1.063316582914573e0	1.576547970291074e2	-8.836033773742723e-13
1.065326633165829e0	1.4193720200427893e2	3.6196194569379393e-13
1.0673366834170854e0	1.2966364441379784e2	9.193267582081688e-14
1.0693467336683418e0	1.1977967949602747e2	-9.10990598710919e-13
1.0713567839195979e0	1.1162167573594255e2	-1.1908850502568824e-12
1.0733668341708542e0	1.0475085926680497e2	-2.212772583838177e-13
1.0753768844221105e0	9.886759080969982e1	-4.1079877272016054e-15
1.0773869346733669e0	9.375778597424298e1	3.619456088313223e-13
1.0793969849246232e0	8.926427945919849e1	-1.3314225542231032e-12
1.0814070351758793e0	8.527090991480999e1	2.339864277283317e-13
1.0834170854271357e0	8.168826928737786e1	1.6015402954115058e-13
1.085427135678392e0	7.844817930292804e1	-2.8772153115270716e-13
1.0874371859296483e0	7.54950130513753e1	-9.43711586982763e-15
1.0894472361809044e0	7.278541207808843e1	5.300874991257869e-13
1.0914572864321608e0	7.028396211888038e1	9.098462336168295e-13
1.0934673366834171e0	6.79616338074608e1	1.3334032012979572e-13
1.0954773869346734e0	6.579417701362841e1	-1.4782883448328174e-13
1.0974874371859298e0	6.3761912816161534e1	1.384526876232206e-12
1.099497487437186e0	6.184784155354061e1	1.3740337674919214e-12
1.1015075376884422e0	6.003716255906335e1	-3.036505352368608e-13
1.1035175879396986e0	5.831753898802648e1	3.9013788221525917e-13
1.1055276381909547e0	5.667862690276414e1	2.5080273403768097e-13
1.107537688442211e0	5.51109624824276e1	-1.570707912233538e-13
1.1095477386934673e0	5.360640549598134e1	5.590872696335618e-13
1.1115577889447237e0	5.215779534534423e1	8.062531376123588e-13
1.11356783919598e0	5.075876233732389e1	-3.607153562470445e-13
1.1155778894472361e0	4.940361379837725e1	-6.099072695321696e-13
1.1175879396984925e0	4.8087236518263225e1	6.397999972527526e-13
1.1195979899497488e0	4.6805003815698086e1	1.1512008825214328e-12
1.121608040201005e0	4.555281476847333e1	1.203575569541528e-12
1.1236180904522612e0	4.432654497499716e1	-1.0559141380139668e-12
1.1256281407035176e0	4.3122618259636305e1	1.279389460524594e-12
1.127638190954774e0	4.193792859177829e1	-4.391103621410682e-13
1.1296482412060302e0	4.0769214334093746e1	-2.7629483021819744e-13
1.1316582914572864e0	3.961361823793476e1	5.667726426772431e-14
1.1336683417085427e0	3.846807464693805e1	-9.620559593126295e-13
1.135678391959799e0	3.732995679199649e1	1.853805938735566e-13
1.1376884422110554e0	3.619649659597275e1	5.849104045427235e-13
1.1396984924623115e0	3.506529915628014e1	-5.821762694434039e-14
1.1417085427135678e0	3.3933782393261545e1	-6.116110131312896e-13
1.1437185929648241e0	3.2799130660374466e1	1.3395596721683235e-12
1.1457286432160805e0	3.1658846203016214e1	-1.349884377217552e-12
1.1477386934673368e0	3.0510261433602555e1	2.351045487576065e-13
1.149748743718593e0	2.935063628893975e1	-4.4774767625584496e-13
1.1517587939698493e0	2.817713010486344e1	3.732652045891217e-13
1.1537688442211056e0	2.6986754716622993e1	-3.0645027964971014e-13
1.1557788944723617e0	2.577636945862848e1	-2.9158704248851835e-13
1.157788944723618e0	2.4542615593077272e1	-2.991434403619309e-13
1.1597989949748744e0	2.328176836780049e1	-4.810260803869641e-13
1.1618090452261307e0	2.199016464017169e1	-2.949244312912851e-13
1.163819095477387e0	2.0663438468145355e1	-5.596367179435348e-13
1.1658291457286432e0	1.9296911684184927e1	1.8758636433357526e-13
1.1678391959798995e0	1.788542029693069e1	1.2714569513120346e-12
1.1698492462311558e0	1.6423334430791176e1	2.4112684955710314e-14
1.171859296482412e0	1.4903763568416547e1	-2.1762127328595282e-14
1.1738693467336683e0	1.3319834981799787e1	1.5210362264470006e-12
