energy	bound difference	node count
-1.6032064128256514e0	3.625049595922465e-4	1.6e1
-1.5991983967935872e0	3.6770471418687576e-4	1.6e1
-1.595190380761523e0	3.7307435363194294e-4	1.6e1
-1.591182364729459e0	3.918385075598988e-4	1.6e1
-1.5871743486973948e0	3.978125656674355e-4	1.6e1
-1.5831663326653307e0	4.300007150415973e-4	1.6e1
-1.5791583166332666e0	4.369444827358351e-4	1.6e1
-1.5751503006012024e0	4.441082521462382e-4	1.6e1
-1.5711422845691383e0	4.51498540268741e-4	1.6e1
-1.5671342685370742e0	4.591221660297966e-4	1.6e1
-1.56312625250501e0	4.76750749484819e-4	1.6e1
-1.5591182364729461e0	4.760562856605232e-4	1.6e1
-1.5551102204408818e0	5.03339111884256e-4	1.6e1
-1.5511022044088176e0	5.124804219501915e-4	1.6e1
-1.5470941883767535e0	5.560617549556239e-4	1.6e1
-1.5430861723446894e0	5.231374873408272e-4	1.6e1
-1.5390781563126252e0	5.330394393448238e-4	1.6e1
-1.535070140280561e0	6.046052327222356e-4	1.6e1
-1.5310621242484972e0	6.20032517423228e-4	1.6e1
-1.5270541082164328e0	6.231281873162666e-4	1.6e1
-1.5230460921843687e0	6.359794662100064e-4	1.6e1
-1.5190380761523046e0	6.49248657484187e-4	1.6e1
-1.5150300601202404e0	7.147465178696068e-4	1.6e1
-1.5110220440881765e0	6.820876947578884e-4	1.6e1
-1.5070140280561122e0	7.535740865039109e-4	1.6e1
-1.5030060120240483e0	7.706277536820719e-4	1.6e1
-1.498997995991984e0	8.163763891894712e-4	1.6e1
-1.49498997995992e0	8.355818226426857e-4	1.6e1
-1.4909819639278556e0	9.372007944348933e-4	1.6e1
-1.4869739478957915e0	8.639892769026472e-4	1.6e1
-1.4829659318637276e0	9.717298732386413e-4	1.6e1
-1.4789579158316633e0	9.432399282587082e-4	1.6e1
-1.4749498997995993e0	1.0687758674490762e-3	1.6e1
-1.470941883767535e0	1.065502793373135e-3	1.6e1
-1.466933867735471e0	1.1467843006447778e-3	1.6e1
-1.4629258517034067e0	1.3253933146624391e-3	1.6e1
-1.4589178356713428e0	1.1961262200167002e-3	1.6e1
-1.4549098196392787e0	1.3882007797875757e-3	1.6e1
