energy	bound difference	node count
-8.888888888888887e-1	-2.106069912736128e-95	1e1
-8.686868686868685e-1	-3.1130123578005414e-95	1e1
-8.484848484848484e-1	-5.848024511278284e-95	1e1
-8.282828282828282e-1	-1.2642404565455841e-94	1.1e1
-8.08080808080808e-1	6.70065585825459e-95	1.1e1
-7.878787878787877e-1	-5.6512194985405076e-95	1.1e1
-7.676767676767676e-1	-8.869785132774297e-95	1.1e1
-7.474747474747474e-1	-1.5593131960062276e-94	1.1e1
-7.272727272727272e-1	-3.0416643868817844e-94	1.1e1
-7.07070707070707e-1	-6.574478026120384e-94	1.1e1
-6.868686868686869e-1	-1.752614810188768e-93	1.1e1
-6.666666666666666e-1	-8.614011849320465e-93	1.2e1
-6.464646464646464e-1	2.296710008088514e-93	1.2e1
-6.262626262626262e-1	1.9271431379551025e-93	1.2e1
-6.06060606060606e-1	1.210596531102267e-93	1.2e1
-5.858585858585859e-1	9.185512950307589e-94	1.2e1
-5.656565656565656e-1	8.723841618096338e-94	1.2e1
-5.454545454545454e-1	3.413626122676848e-94	1.2e1
-5.252525252525252e-1	-5.373046321886696e-94	1.3e1
-5.050505050505051e-1	-1.1610111375467188e-93	1.3e1
-4.848484848484847e-1	-1.2250839689653357e-93	1.3e1
-4.646464646464645e-1	-1.842583676120275e-93	1.3e1
-4.4444444444444425e-1	-2.7644877641614784e-93	1.3e1
-4.242424242424241e-1	-4.00783172421618e-93	1.3e1
-4.0404040404040387e-1	-8.858158301070988e-93	1.4e1
-3.838383838383837e-1	2.064250861391824e-93	1.4e1
-3.636363636363635e-1	-3.040101665614505e-94	1.4e1
-3.434343434343433e-1	-1.2579364731690091e-93	1.4e1
-3.232323232323231e-1	-1.802717225247243e-93	1.4e1
-3.030303030303029e-1	-2.9506786835576225e-93	1.4e1
-2.828282828282827e-1	-5.617600272044367e-93	1.4e1
-2.6262626262626254e-1	2.2953584082998123e-93	1.5e1
-2.4242424242424235e-1	4.221746657245266e-94	1.5e1
-2.2222222222222213e-1	-2.1652240409451535e-94	1.5e1
-2.0202020202020193e-1	-4.49052413547617e-94	1.5e1
-1.8181818181818174e-1	-5.546030551068283e-94	1.5e1
-1.6161616161616155e-1	1.171537049025052e-93	1.6e1
-1.4141414141414135e-1	1.8930840389545295e-95	1.6e1
-1.2121212121212117e-1	2.4946707006114752e-95	1.6e1
-1.0101010101010097e-1	9.212082137783813e-95	1.6e1
-8.080808080808077e-2	1.51799937187848e-94	1.6e1
-6.060606060606059e-2	-1.110990589150571e-99	1.7e1
-4.040404040404039e-2	-8.925522778064387e-101	1.7e1
-2.0202020202020193e-2	-6.17483959559907e-102	1.7e1
0e0	1.9610748015664643e-101	1.7e1
